public_client_id	genome_id
01213458	06cb507fa1b7
01279862	337667
01407694	337668
01935734	337669
01305846	337670
01357282	337671
01621070	337672
01320534	337678
01265330	337679
01441230	337682
01228794	337685
01194014	337689
01331306	337696
01090903	337701
01901634	337704
01723446	337705
01256840	337708
01364721	337719
01672514	337722
01764086	339149
01057226	339150
01739478	343381
01935526	3f1b34fbb593
01483506	62d7f1ab0b16
01459834	A000AV109-007
01777604	A000AV112-007
01324699	A000AV113-007
01808430	A000AV115-007
01074178	A000AV118-007
01040891	A000AV121-007
01414958	A000AV122-007
01372506	A000AV124-007
01903340	A000AV126-007
01108278	A000AV127-007
01420546	A000AV128-007
01323214	A000AV129-007
01558784	A000AV130-007
01850702	A000AV131-007
01864802	A017AU833-007
01575222	A017AU835-007
01429418	A017AU836-007
01839338	A017AU841-007
01536524	A017AU846-007
01060924	A017AU849-006
01677102	A017AU852-007
01831258	A017AU860-007
01983426	A017AU861-007
01737114	A017AU867-007
01949946	A017AU871-007
01507098	A017AU874-007
01080526	A017AU877-007
01242530	A017AU880-007
01405018	A017AU883-007
01890798	A017AU891-007
01089482	A017AU897-007
01326651	A017AU902-007
01377974	A017AU904-007
01872482	A017AU907-007
01456670	A017AU911-007
01532234	A017AU918-007
01165590	A017AU926-007
01057525	A017AU928-007
01072510	A017AU931-007
01122946	A017AU935-007
01779798	A017AU937-007
01200802	A040AV064-007
01125142	A040AV065-007
01389474	A040AV067-007
01085787	A040AV068-007
01954550	A040AV070-006
01849376	A040AV071-007
01968854	A040AV072-007
01048730	A040AV073-007
01099670	A040AV074-007
01824494	A040AV075-007
01525398	A040AV077-007
01029090	A040AV078-007
01262138	A040AV079-007
01926530	A040AV080-007
01978362	A040AV081-007
01628142	A040AV084-007
01647766	A040AV085-007
01898494	A042AU483-007
01695038	A042AU485-007
01130298	A042AU487-007
01011802	A042AU490-007
01847034	A042AU491-007
01367331	A042AU496-007
01403958	A042AU498-007
01012322	A042AU503-007
01352450	A042AU505-007
01131970	A042AU508-007
01045282	A042AU510-007
01173174	A042AU511-007
01183722	A042AU513-007
01746434	A042AU515-007
01302078	A042AU517-007
01148790	A042AU518-007
01224634	A042AU520-007
01157462	A042AU525-007
01233890	A042AU526-007
01702862	A042AU528-007
01174518	A042AU532-007
01310874	A042AU533-007
01191062	A042AU534-007
01489998	A042AU536-007
01907614	A042AU538-006
01200234	A042AU539-007
01907054	A042AU579-007
01667682	A046AU688-007
01134564	A046AU692-007
01488926	A046AU693-007
01336834	A046AU695-007
01830134	A046AU696-007
01395894	A046AU700-007
01021026	A046AU701-007
01063758	A046AU703-007
01822070	A046AU704-007
01362326	A046AU705-007
01934381	A046AU709-007
01693678	A046AU712-006
01514398	A046AU718-007
01276094	A046AU720-007
01856162	A046AU722-007
01148226	A046AU724-007
01931982	A046AU725-007
01855594	A046AU726-007
01881570	A046AU728-007
01207898	A046AU729-007
01088158	A046AU731-007
01682829	A107AU142-007
01315645	A107AU144-007
01497790	A107AU147-007
01710577	A107AU149-007
01506766	A107AU152-007
01565826	A107AU153-007
01762050	A107AU154-007
01711646	A107AU156-007
01720762	A107AU157-007
01379286	A107AU158-006
01455394	A107AU159-006
01813526	A107AU161-007
01990337	A107AU165-007
01370422	A107AU167-007
01139586	A107AU168-007
01550678	A115AW805-006
01586722	A115AW807-006
01775871	A115AW808-006
01090838	A115AW809-006
01278234	A115AW810-006
01432046	A115AW812-006
01524930	A115AW813-006
01124438	A115AW814-006
01508418	A115AW815-006
01482954	A115AW816-007
01438754	A127AU581-007
01600694	A127AU585-007
01430754	A127AU588-007
01916238	A127AU592-007
01295042	A127AU593-007
01881886	A127AU595-007
01853321	A127AU597-007
01728330	A127AU602-007
01515722	A127AU604-007
01686094	A127AU616-007
01264701	A162AU002-007
01268606	A162AU009-007
01541442	A162AU012-007
01997909	A162AU015-007
01523770	A162AU017-007
01327810	A162AU023-007
01617302	A162AU024-007
01642218	A162AU027-007
01292878	A162AU029-007
01209442	A162AU033-007
01078370	A162AU035-007
01199158	A162AU039-007
01387286	A162AU041-007
01857795	A163AW012-007
01892563	A163AW013-007
01576406	A163AW015-007
01361669	A163AW016-006
01916730	A163AW018-006
01789110	A214AW429-007
01695306	A214AW430-007
01951170	A214AW431-007
01081754	A214AW433-007
01364952	A253AU383-005
01497326	A253AU389-007
01110829	A253AU391-007
01114138	A253AU393-007
01445596	A253AU395-007
01844101	A253AU396-007
01344322	A253AU401-007
